table,question,date,response,Total (a),Male (b),Female (c),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),16-24 (d),18-24 (e),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 12th to 14th March 2021,4,2,1,2,-,-,-,-,1,1,2,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 12th to 14th March 2021,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 12th to 14th March 2021,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 12th to 14th March 2021,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 12th to 14th March 2021,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 12th to 14th March 2021,Mean,4.2,4.41,4,-,-,-,-,4.41,4.41,4,-,-,-,-,-,-,-,-,4.2,-,-,-,-,-,-,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 12th to 14th March 2021,Standard deviation Standard error,0.49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.49,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 6th to 8th November 2020,Unweighted base,6,6,-,-,-,-,-,5,5,1,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 6th to 8th November 2020,Weighted base,4**,4**,-**,-**,-**,-**,-**,3**,3**,1**,-**,-**,-**,-**,-**,-**,-**,-**,4**,-**,-**,-**,-**,-**,-**,1**,1**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 6th to 8th November 2020,NET: Trust,4,4,-,-,-,-,-,3,3,1,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 6th to 8th November 2020,5 - Trust completely,2,2,-,-,-,-,-,2,2,1,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 6th to 8th November 2020,4,2,2,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 6th to 8th November 2020,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 6th to 8th November 2020,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 6th to 8th November 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 6th to 8th November 2020,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 6th to 8th November 2020,Mean,4.58,4.58,-,-,-,-,-,4.49,4.49,5,-,-,-,-,-,-,-,-,4.58,-,-,-,-,-,-,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 6th to 8th November 2020,Standard deviation Standard error,0.57,0.57,-,-,-,-,-,0.6,0.6,-,-,-,-,-,-,-,-,-,0.57,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 35,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 12th to 15th June 2020,Unweighted base,3,3,-,-,-,2,-,1,2,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 35,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 12th to 15th June 2020,Weighted base,2**,2**,-**,-**,-**,2**,-**,1**,1**,1**,-**,-**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 35,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 12th to 15th June 2020,NET: Trust,2,2,-,-,-,2,-,-,*,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 35,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 12th to 15th June 2020,5 - Trust completely,*,*,-,-,-,*,-,-,*,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 35,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 12th to 15th June 2020,4,1,1,-,-,-,1,-,-,-,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 35,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 12th to 15th June 2020,3,1,1,-,-,-,-,-,1,1,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 35,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 12th to 15th June 2020,2,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 35,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 12th to 15th June 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 35,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 12th to 15th June 2020,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 35,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 12th to 15th June 2020,Mean,3.95,3.95,-,-,-,4.24,-,3,3.87,4,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 35,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 12th to 15th June 2020,Standard deviation Standard error,0.84,0.84,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 4th to 6th June 2021,Unweighted base,8,4,4,1,-,-,1,5,3,3,1,1,-,-,-,-,-,-,8,-,-,-,-,-,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 4th to 6th June 2021,Weighted base,8**,3**,5**,1**,-**,-**,1**,5**,2**,5**,1**,1**,-**,-**,-**,-**,-**,-**,8**,-**,-**,-**,-**,-**,-**,2**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 4th to 6th June 2021,NET: Trust,7,3,4,1,-,-,1,4,2,3,1,1,-,-,-,-,-,-,7,-,-,-,-,-,-,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 4th to 6th June 2021,5 - Trust completely,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 4th to 6th June 2021,4,7,3,4,1,-,-,1,4,2,3,1,1,-,-,-,-,-,-,7,-,-,-,-,-,-,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 4th to 6th June 2021,3,2,-,2,-,-,-,-,2,-,2,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 4th to 6th June 2021,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 4th to 6th June 2021,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 4th to 6th June 2021,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 4th to 6th June 2021,Mean,3.8,4,3.68,4,-,-,4,3.69,4,3.64,4,4,-,-,-,-,-,-,3.8,-,-,-,-,-,-,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 4th to 6th June 2021,Standard deviation Standard error,0.43,0,0.52,-,-,-,-,0.51,0,0.54,-,-,-,-,-,-,-,-,0.43,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 4th to 6th December 2020,Unweighted base,6,3,3,1,1,1,1,2,1,3,1,1,-,-,-,-,-,-,6,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 4th to 6th December 2020,Weighted base,7**,3**,4**,1**,1**,1**,1**,3**,2**,3**,1**,1**,-**,-**,-**,-**,-**,-**,7**,-**,-**,-**,-**,-**,-**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-**,-**,-**
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 4th to 6th December 2020,NET: Trust,6,2,4,1,1,1,1,2,2,2,1,1,-,-,-,-,-,-,6,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 4th to 6th December 2020,5 - Trust completely,1,-,1,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 4th to 6th December 2020,4,5,2,3,1,1,1,-,2,2,1,1,1,-,-,-,-,-,-,5,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 4th to 6th December 2020,3,1,1,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 4th to 6th December 2020,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 4th to 6th December 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 4th to 6th December 2020,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 4th to 6th December 2020,Mean,4.08,3.75,4.34,4,4,4,5,3.74,4,4.2,4,4,-,-,-,-,-,-,4.08,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 4th to 6th December 2020,Standard deviation Standard error,0.58,0.53,0.54,-,-,-,-,0.54,0,1.03,-,-,-,-,-,-,-,-,0.58,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-
Table 40,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 19th to 21st June 2020,Unweighted base,2,2,-,-,1,-,1,-,1,-,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 40,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 19th to 21st June 2020,Weighted base,1**,1**,-**,-**,1**,-**,***,-**,1**,-**,-**,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 40,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 19th to 21st June 2020,NET: Trust,*,*,-,-,-,-,*,-,-,-,-,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 40,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 19th to 21st June 2020,5 - Trust completely,*,*,-,-,-,-,*,-,-,-,-,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 40,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 19th to 21st June 2020,4,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 40,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 19th to 21st June 2020,3,1,1,-,-,1,-,-,-,1,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 40,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 19th to 21st June 2020,2,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 40,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 19th to 21st June 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 40,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 19th to 21st June 2020,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 40,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 19th to 21st June 2020,Mean,3.8,3.8,-,-,3,-,5,-,3,-,-,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 40,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 19th to 21st June 2020,Standard deviation Standard error,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 15th to 17th January 2021,Unweighted base,3,3,-,-,-,1,-,2,3,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 15th to 17th January 2021,Weighted base,2**,2**,-**,-**,-**,1**,-**,2**,2**,-**,-**,-**,-**,-**,-**,-**,-**,-**,2**,-**,-**,-**,-**,-**,-**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 15th to 17th January 2021,NET: Trust,2,2,-,-,-,1,-,2,2,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 15th to 17th January 2021,5 - Trust completely,1,1,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 15th to 17th January 2021,4,1,1,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 15th to 17th January 2021,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 15th to 17th January 2021,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 15th to 17th January 2021,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 15th to 17th January 2021,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 15th to 17th January 2021,Mean,4.62,4.62,-,-,-,5,-,4.5,4.62,-,-,-,-,-,-,-,-,-,4.62,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 15th to 17th January 2021,Standard deviation Standard error,0.65,0.65,-,-,-,-,-,-,0.65,-,-,-,-,-,-,-,-,-,0.65,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 12th to 14th February 2021,Unweighted base,3,2,1,-,1,-,1,1,1,-,1,1,-,-,-,-,-,-,3,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 12th to 14th February 2021,Weighted base,1**,1**,1**,-**,***,-**,1**,***,***,-**,1**,***,-**,-**,-**,-**,-**,-**,1**,-**,-**,-**,-**,-**,-**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 12th to 14th February 2021,NET: Trust,1,*,1,-,-,-,1,*,*,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 12th to 14th February 2021,5 - Trust completely,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 12th to 14th February 2021,4,1,*,1,-,-,-,1,*,*,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 12th to 14th February 2021,3,*,*,-,-,*,-,-,-,-,-,-,*,-,-,-,-,-,-,*,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 12th to 14th February 2021,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 12th to 14th February 2021,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 12th to 14th February 2021,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 12th to 14th February 2021,Mean,3.73,3.44,4,-,3,-,4,4,4,-,4,3,-,-,-,-,-,-,3.73,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: S4C,ONLINE Fieldwork: 12th to 14th February 2021,Standard deviation Standard error,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
