table,question,date,response,Total (a),Male (b),Female (c),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),16-24 (d),18-24 (e),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 240,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,1,1,-,1,-,1,5,4,3,2,9,2,11,11,12,12,-,,,,,,,,,
Table 240,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,12**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-**,1**,1**,-**,1**,-**,1**,6**,3**,5**,3**,8**,1**,10**,11**,12**,12**,-**,,,,,,,,,
Table 240,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Trust,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,1,1,-,1,-,1,6,3,5,3,8,1,9,10,11,11,-,,,,,,,,,
Table 240,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 22nd to 24th May 2020,5 - Trust completely,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,1,2,1,-,-,3,-,3,3,3,3,-,,,,,,,,,
Table 240,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 22nd to 24th May 2020,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,1,1,-,1,-,-,3,1,5,3,5,1,7,8,8,8,-,,,,,,,,,
Table 240,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 22nd to 24th May 2020,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,1,-,-,-,1,1,1,1,1,-,,,,,,,,,
Table 240,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 22nd to 24th May 2020,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
Table 240,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 22nd to 24th May 2020,1 - Do not trust at all,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
Table 240,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Do not trust,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
Table 240,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,4.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,4,4,-,4,-,5,4.38,4.15,4,4,4.33,3.37,4.17,4.15,4.15,4.15,-,,,,,,,,,
Table 240,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,0.54,0.95,0,0,0.5,-,0.59,0.56,0.55,0.55,-,,,,,,,,,
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 3rd to 5th April 2020,Unweighted base,5,4,1,-,1,-,3,-,4,1,-,-,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 3rd to 5th April 2020,Weighted base,5**,4**,1**,-**,1**,-**,3**,-**,4**,1**,-**,-**,1**,1**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 3rd to 5th April 2020,NET: Trust,4,4,-,-,1,-,2,-,3,1,-,-,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 3rd to 5th April 2020,5 - Trust completely,2,2,-,-,-,-,1,-,2,-,-,-,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 3rd to 5th April 2020,4,2,2,-,-,1,-,1,-,1,1,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 3rd to 5th April 2020,3,1,-,1,-,-,-,1,-,1,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 3rd to 5th April 2020,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 3rd to 5th April 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 3rd to 5th April 2020,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 3rd to 5th April 2020,Mean,4.09,4.51,3,-,4,-,3.88,-,4.11,4,-,-,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 3rd to 5th April 2020,Standard deviation Standard error,0.89,0.58,-,-,-,-,1,-,1,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 74,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 7th to 10th May 2020,Unweighted base,15,12,3,1,3,2,4,4,8,3,1,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 74,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 7th to 10th May 2020,Weighted base,13**,10**,2**,1**,4**,2**,3**,3**,6**,2**,1**,3**,1**,1**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 74,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 7th to 10th May 2020,NET: Trust,8,8,1,-,2,1,2,2,4,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 74,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 7th to 10th May 2020,5 - Trust completely,4,3,1,-,1,-,-,2,2,1,1,-,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 74,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 7th to 10th May 2020,4,5,5,-,-,1,1,2,1,2,1,-,2,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 74,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 7th to 10th May 2020,3,4,3,2,1,1,1,1,1,2,1,-,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 74,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 7th to 10th May 2020,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 74,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 7th to 10th May 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 74,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 7th to 10th May 2020,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 74,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 7th to 10th May 2020,Mean,3.95,4.01,3.69,3,4.04,3.61,3.72,4.25,3.88,4.01,5,3.53,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 74,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 7th to 10th May 2020,Standard deviation Standard error,0.84,0.79,1.26,-,1.06,-,0.55,1.03,0.85,1.13,-,0.62,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 24th to 26th April 2020,Unweighted base,10,7,3,1,3,-,1,4,4,3,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 24th to 26th April 2020,Weighted base,7**,5**,2**,1**,2**,-**,1**,3**,3**,3**,***,1**,1**,1**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 24th to 26th April 2020,NET: Trust,5,4,1,-,2,-,1,2,2,2,*,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 24th to 26th April 2020,5 - Trust completely,1,1,1,-,-,-,-,1,1,-,-,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 24th to 26th April 2020,4,4,4,1,-,2,-,1,2,1,2,*,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 24th to 26th April 2020,3,2,1,1,1,-,-,-,1,1,1,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 24th to 26th April 2020,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 24th to 26th April 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 24th to 26th April 2020,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 24th to 26th April 2020,Mean,3.92,3.98,3.77,3,4,-,4,3.96,3.96,3.64,4,4.45,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 24th to 26th April 2020,Standard deviation Standard error,0.7,0.61,1.14,-,-,-,-,0.86,0.9,0.6,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 5th to 11th April 2021,Unweighted base,4,1,3,1,-,1,1,1,3,-,1,-,,,-,-,1,-,-,-,-,-,1,1,-,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 5th to 11th April 2021,Weighted base,4**,1**,3**,1**,-**,1**,1**,1**,3**,-**,1**,-**,,,-**,-**,1**,-**,-**,-**,-**,-**,1**,1**,-**,1**,3**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 5th to 11th April 2021,NET: Trust,4,1,3,1,-,1,1,1,3,-,1,-,,,-,-,1,-,-,-,-,-,1,1,-,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 5th to 11th April 2021,5 - Trust completely,3,1,2,-,-,1,1,1,2,-,1,-,,,-,-,-,-,-,-,-,-,1,1,-,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 5th to 11th April 2021,4,1,-,1,1,-,-,-,-,1,-,-,-,,,-,-,1,-,-,-,-,-,-,-,-,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 5th to 11th April 2021,3,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 5th to 11th April 2021,2,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 5th to 11th April 2021,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 5th to 11th April 2021,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 5th to 11th April 2021,Mean,4.85,5,4.8,4,-,5,5,5,4.77,-,5,-,,,-,-,4,-,-,-,-,-,5,5,-,5,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 5th to 11th April 2021,Standard deviation Standard error,0.41,-,0.5,-,-,-,-,-,0.54,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 5th to 7th June 2020,Unweighted base,7,3,4,1,1,2,-,2,4,-,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 5th to 7th June 2020,Weighted base,8**,2**,5**,1**,***,1**,-**,3**,4**,-**,***,3**,2**,2**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 5th to 7th June 2020,NET: Trust,4,*,3,1,*,-,-,-,1,-,*,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 5th to 7th June 2020,5 - Trust completely,2,*,1,1,*,-,-,-,1,-,*,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 5th to 7th June 2020,4,2,-,2,-,-,-,-,-,-,-,-,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 5th to 7th June 2020,3,3,1,2,-,-,1,-,3,3,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 5th to 7th June 2020,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 5th to 7th June 2020,1 - Do not trust at all,*,*,-,-,-,*,-,-,-,-,-,*,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 5th to 7th June 2020,NET: Do not trust,*,*,-,-,-,*,-,-,-,-,-,*,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 5th to 7th June 2020,Mean,3.6,2.99,3.87,5,5,2.12,-,3,3.52,-,5,3.48,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 5th to 7th June 2020,Standard deviation Standard error,1.1,1.67,0.82,-,-,-,-,0,1,-,-,1.41,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 12th to 14th March 2021,Unweighted base,4,2,2,-,1,-,-,3,2,1,1,-,,,-,1,-,-,-,-,-,1,1,-,1,-,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 12th to 14th March 2021,Weighted base,4**,2**,2**,-**,1**,-**,-**,3**,2**,1**,1**,-**,,,-**,1**,-**,-**,-**,-**,-**,1**,1**,-**,1**,-**,4**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 12th to 14th March 2021,NET: Trust,3,2,1,-,1,-,-,2,2,-,1,-,,,-,-,-,-,-,-,-,1,1,-,1,-,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 12th to 14th March 2021,5 - Trust completely,1,1,-,-,-,-,-,1,1,-,-,-,,,-,-,-,-,-,-,-,-,-,-,1,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 12th to 14th March 2021,4,2,1,1,-,1,-,-,1,1,-,1,-,,,-,-,-,-,-,-,-,1,1,-,-,-,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 12th to 14th March 2021,3,1,-,1,-,-,-,-,1,-,1,-,-,,,-,1,-,-,-,-,-,-,-,-,-,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 12th to 14th March 2021,2,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 12th to 14th March 2021,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 12th to 14th March 2021,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 12th to 14th March 2021,Mean,3.96,4.5,3.46,-,4,-,-,3.95,4.5,3,4,-,,,-,3,-,-,-,-,-,4,4,-,5,-,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 12th to 14th March 2021,Standard deviation Standard error,0.83,-,0.69,-,-,-,-,1.01,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 74,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 1st to 3rd May 2020,Unweighted base,15,5,10,-,-,8,2,4,4,8,-,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 74,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 1st to 3rd May 2020,Weighted base,13**,4**,9**,-**,-**,7**,1**,3**,3**,7**,-**,2**,1**,1**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 74,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 1st to 3rd May 2020,NET: Trust,12,4,8,-,-,7,1,3,3,7,-,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 74,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 1st to 3rd May 2020,5 - Trust completely,7,3,4,-,-,5,1,1,3,3,-,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
