table,question,date,response,BBC - TV,BBC - Radio,BBC Online/ app,ITV,STV,UTV,ITV Wales,Channel 4,Channel 5,Sky,Newspapers (printed),Newspapers (online),Advertising,Commercial Radio,Podcasts,Direct from World Health Organisatio n (WHO) website/ email/text/ post,Direct from NHS website/ email/text/ post,Direct from Government website/ email/text/ post,Official scientists,Direct from Local health service website/ email/text/ post,Direct from Local council website/ email/text/ post,Facebook,Twitter,Instagram,Snapchat,YouTube,WhatsApp,WhatsApp group(s),Facebook messenger,Apple iMessage,Search engine (e.g. Google),"Websites/ apps of online news organisatio ns like Buzzfeed, Huffington Post, Vice, etc.",Websites or apps that bring together news from different news providers,"Nonmainstream news sources such as Russia Today, Breitbart, Swawkbox etc",Email,"Smart speaker (e.g. Amazon Echo, Google Home)",Family and friends directly,People in your local area/ neighbourho od,Other 1,Other 2,Other 3,BBC Alba,S4C,RTÉ,"""Broadsheet s"" such as The Times or Guardian ( printed )","""Mid-market tabloids"" such as The Daily Mail or Daily Express ( printed )","""Red-top tabloids"" such as The Sun or Daily Mirror ( printed )","""Broadsheet s"" such as The Times or Guardian ( online )","""Mid-market tabloids"" such as MailOnline or Express ( online )","""Red-top tabloids"" such as The Sun or Mirror ( online )",Magazines,Cool FM,Community Radio,Direct from UK Government website/ email/text/ post,Direct from Scotland Government website/ email/text/ post,Direct from Wales Government website/ email/text/ post,Direct from Northern Ireland Government website/ email/text/ post,Celebrity and/or social media influencer,"“Broadsheet s"" such as The Times or Guardian ( printed )","""Mid-market tabloids” such as MailOnline or Express ( online )","Local sources across TV, radio and online","Nonmainstream news sources such as Russia Today, Breitbart, Swawkbox, Infowars, Rebel Media etc","Smart speaker/ display (e.g. Amazon Echo, Google Home)","Direct Mail, e.g. leaflets or other types of information that you get through the letterbox","Flyers, e.g. leaflets that you may be given or find when out and about","Stickers, e.g. on lamp posts or other places in your neighbourho od"
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 22nd to 24th May 2020,5 - Trust completely,299,103,138,129,16,5,9,55,21,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,-,,13,9,38,,5,,,,,,,,,11,5,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 22nd to 24th May 2020,4,619,219,297,311,33,16,23,128,37,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,3,7,,36,20,167,,19,,,,,,,,,63,27,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 22nd to 24th May 2020,3,279,74,111,152,17,4,2,46,23,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,,56,33,79,,35,,,,,,,,,29,79,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 22nd to 24th May 2020,2,69,12,25,19,-,2,-,5,3,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,,22,14,10,,25,,,,,,,,,3,43,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 22nd to 24th May 2020,1 - Do not trust at all,46,4,11,6,1,-,1,1,-,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,,3,10,3,,13,,,,,,,,,1,6,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Do not trust,115,17,36,26,1,2,1,6,3,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,,25,24,12,,38,,,,,,,,,4,49,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,3.81,3.98,3.91,3.87,3.96,3.92,4.13,3.98,3.9,3.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4.27,4,,3.26,3.05,3.77,,2.76,,,,,,,,,3.75,2.89,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.96,0.8,0.87,0.81,0.78,0.78,0.74,0.75,0.83,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,0.52,0,,0.93,1.14,0.75,,1.07,,,,,,,,,0.71,0.84,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,,,,,,,,,,,,,95,269,76,106,298,,143,139,205,588,313,101,36,,,,,,,,,,,,,,,,,,,,,,,,,,50,5,38,409,64,19,11,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,,,,,,,,,,,,,96,271,76,104,295,,145,142,207,592,322,103,36,,,,,,,,,,,,,,,,,,,,,,,,,,52,6,35,412,55,16,11,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Trust,,,,,,,,,,,,,26,148,49,89,279,,126,124,167,87,87,22,4,,,,,,,,,,,,,,,,,,,,,,,,,,29,6,20,297,51,13,9,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 22nd to 24th May 2020,5 - Trust completely,,,,,,,,,,,,,5,29,11,48,168,,57,69,62,16,14,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,5,112,26,4,7,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 22nd to 24th May 2020,4,,,,,,,,,,,,,21,119,38,41,110,,69,55,105,71,73,19,4,,,,,,,,,,,,,,,,,,,,,,,,,,24,4,15,185,25,10,3,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 22nd to 24th May 2020,3,,,,,,,,,,,,,43,108,24,11,17,,13,17,32,253,143,34,15,,,,,,,,,,,,,,,,,,,,,,,,,,15,-,15,76,3,3,2,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 22nd to 24th May 2020,2,,,,,,,,,,,,,19,10,3,4,-,,5,1,6,195,73,39,15,,,,,,,,,,,,,,,,,,,,,,,,,,5,-,1,27,1,-,-,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 22nd to 24th May 2020,1 - Do not trust at all,,,,,,,,,,,,,8,4,1,1,-,,1,1,1,56,18,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,-,-,12,-,-,-,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Do not trust,,,,,,,,,,,,,26,14,4,5,-,,6,2,8,251,92,47,17,,,,,,,,,,,,,,,,,,,,,,,,,,8,-,1,39,1,-,-,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,,,,,,,,,,,,,2.96,3.59,3.72,4.26,4.51,,4.22,4.34,4.06,2.66,2.97,2.71,2.64,,,,,,,,,,,,,,,,,,,,,,,,,,3.43,4.38,3.68,3.87,4.37,4.03,4.43,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,,,,,,,,,,,,,0.98,0.79,0.79,0.85,0.6,,0.8,0.75,0.79,0.91,0.93,0.96,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.53,0.73,0.98,0.7,0.65,0.8,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,,,,,,,,,,,,,,,,,,,,,,,,,,178,107,87,93,12,331,318,363,35,227,68,579,186,68,12,5,,,,,,,,,,,,,,,,,51,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,,,,,,,,,,,,,,,,,,,,,,,,,,182,99,86,97,10,333,326,360,32,230,68,577,180,61,12,4,,,,,,,,,,,,,,,,,55,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Trust,,,,,,,,,,,,,,,,,,,,,,,,,,71,31,16,21,1,134,90,139,15,94,37,297,59,40,11,2,,,,,,,,,,,,,,,,,15,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 22nd to 24th May 2020,5 - Trust completely,,,,,,,,,,,,,,,,,,,,,,,,,,20,8,2,7,-,22,6,15,1,24,7,87,6,16,3,1,,,,,,,,,,,,,,,,,3,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 22nd to 24th May 2020,4,,,,,,,,,,,,,,,,,,,,,,,,,,51,22,14,15,1,112,85,124,13,70,30,211,53,24,8,1,,,,,,,,,,,,,,,,,12,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 22nd to 24th May 2020,3,,,,,,,,,,,,,,,,,,,,,,,,,,78,44,40,49,7,173,167,179,12,108,24,228,83,15,1,1,,,,,,,,,,,,,,,,,18,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 22nd to 24th May 2020,2,,,,,,,,,,,,,,,,,,,,,,,,,,27,19,21,15,3,24,55,32,5,25,8,46,36,4,-,-,,,,,,,,,,,,,,,,,16,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 22nd to 24th May 2020,1 - Do not trust at all,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,9,11,-,2,13,10,1,4,-,5,3,1,-,1,,,,,,,,,,,,,,,,,5,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Do not trust,,,,,,,,,,,,,,,,,,,,,,,,,,32,24,30,26,3,26,68,42,6,28,8,51,39,5,-,1,,,,,,,,,,,,,,,,,21,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,,,,,,,,,,,,,,,,,,,,,,,,,,3.29,3.1,2.75,2.91,2.78,3.38,3.05,3.29,3.3,3.38,3.52,3.57,3.13,3.83,4.15,3.11,,,,,,,,,,,,,,,,,2.87,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,0.98,0.93,1.02,0.57,0.74,0.81,0.79,0.89,0.87,0.84,0.87,0.82,0.97,0.55,1.73,,,,,,,,,,,,,,,,,1.06,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 3rd to 5th April 2020,Unweighted base,1443,415,653,701,75,32,35,326,117,460,324,597,103,271,75,189,477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 3rd to 5th April 2020,Weighted base,1442,410,671,722,70,32,36,336,121,467,312,607,100,271,78,192,489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 3rd to 5th April 2020,NET: Trust,1142,341,543,561,54,28,32,258,80,349,181,263,35,160,50,180,458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 3rd to 5th April 2020,5 - Trust completely,503,155,226,226,22,15,14,94,32,131,54,48,10,46,10,111,309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 3rd to 5th April 2020,4,639,186,318,334,32,13,19,163,48,218,127,215,25,114,40,69,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 3rd to 5th April 2020,3,226,50,103,132,12,3,2,64,32,86,111,256,34,85,22,7,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 3rd to 5th April 2020,2,52,13,18,20,3,1,1,9,7,20,17,73,25,25,3,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 3rd to 5th April 2020,1 - Do not trust at all,22,6,7,9,2,-,-,5,2,12,4,15,6,2,3,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 3rd to 5th April 2020,NET: Do not trust,74,19,25,29,5,1,1,15,9,32,21,88,31,27,7,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 3rd to 5th April 2020,Mean,4.07,4.15,4.1,4.04,3.99,4.3,4.25,3.99,3.84,3.94,3.67,3.34,3.07,3.65,3.64,4.48,4.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 3rd to 5th April 2020,Standard deviation Standard error,0.88,0.85,0.82,0.85,0.93,0.81,0.74,0.85,0.95,0.93,0.87,0.88,1.07,0.89,0.91,0.74,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 3rd to 5th April 2020,Unweighted base,,,,,,,,,,,,,,,,,,566,153,176,221,625,288,146,59,212,163,127,122,21,414,321,375,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 3rd to 5th April 2020,Weighted base,,,,,,,,,,,,,,,,,,575,156,168,217,629,298,157,65,208,174,132,125,22,415,327,382,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 3rd to 5th April 2020,NET: Trust,,,,,,,,,,,,,,,,,,474,138,150,165,82,61,30,15,66,46,23,31,8,165,112,179,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 3rd to 5th April 2020,5 - Trust completely,,,,,,,,,,,,,,,,,,282,76,75,71,13,10,8,1,9,7,7,10,2,23,13,35,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 3rd to 5th April 2020,4,,,,,,,,,,,,,,,,,,192,62,75,93,69,51,22,14,57,38,15,20,6,142,99,144,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 3rd to 5th April 2020,3,,,,,,,,,,,,,,,,,,73,12,8,38,275,165,73,25,92,80,68,55,9,195,144,159,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 3rd to 5th April 2020,2,,,,,,,,,,,,,,,,,,17,3,8,12,209,59,49,21,41,41,26,25,4,47,59,34,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 3rd to 5th April 2020,1 - Do not trust at all,,,,,,,,,,,,,,,,,,10,3,2,3,63,13,5,5,9,7,16,15,1,7,13,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 3rd to 5th April 2020,NET: Do not trust,,,,,,,,,,,,,,,,,,28,6,10,14,272,72,54,26,50,48,42,39,4,54,72,44,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 3rd to 5th April 2020,Mean,,,,,,,,,,,,,,,,,,4.25,4.32,4.28,4.01,2.62,2.95,2.87,2.79,3.08,2.98,2.8,2.9,3.23,3.3,3.12,3.42,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 3rd to 5th April 2020,Standard deviation Standard error,,,,,,,,,,,,,,,,,,0.91,0.84,0.85,0.92,0.89,0.82,0.88,0.93,0.9,0.9,0.99,1.08,0.96,0.81,0.89,0.88,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 3rd to 5th April 2020,Unweighted base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378,59,616,184,56,5,2,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 3rd to 5th April 2020,Weighted base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378,57,626,189,55,5,3,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 3rd to 5th April 2020,NET: Trust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,30,320,42,41,4,3,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 3rd to 5th April 2020,5 - Trust completely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,4,107,6,23,2,-,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 3rd to 5th April 2020,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,26,213,36,19,2,3,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 3rd to 5th April 2020,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,20,235,91,10,1,-,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 3rd to 5th April 2020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,6,55,45,3,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 3rd to 5th April 2020,1 - Do not trust at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2,16,12,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 3rd to 5th April 2020,NET: Do not trust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,7,72,57,4,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 3rd to 5th April 2020,Mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,3.43,3.54,2.89,4.08,4.09,4,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 3rd to 5th April 2020,Standard deviation Standard error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,0.87,0.96,0.89,0.96,0.89,0,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 7th to 10th May 2020,Unweighted base,1334,432,647,594,53,36,26,274,84,427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,92,317,,122,48,,,,,,,,136,182,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 7th to 10th May 2020,Weighted base,1325,406,623,608,57,33,23,285,91,436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,100,293,,128,49,,,,,,,,126,182,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 7th to 10th May 2020,NET: Trust,922,296,443,410,37,25,18,214,61,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,33,201,,19,21,,,,,,,,79,47,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 7th to 10th May 2020,5 - Trust completely,310,110,132,121,7,11,8,71,19,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3,40,,2,4,,,,,,,,16,5,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 7th to 10th May 2020,4,612,187,311,289,30,14,11,144,42,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,30,161,,16,17,,,,,,,,64,42,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 7th to 10th May 2020,3,287,78,132,165,19,8,3,61,26,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,40,73,,53,22,,,,,,,,36,75,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 7th to 10th May 2020,2,74,19,30,22,1,-,1,7,1,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,19,14,,41,6,,,,,,,,10,39,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 7th to 10th May 2020,1 - Do not trust at all,42,13,19,11,-,-,-,3,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,5,,15,-,,,,,,,,1,21,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 7th to 10th May 2020,NET: Do not trust,116,32,49,33,1,-,1,10,4,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,28,19,,56,6,,,,,,,,11,60,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 7th to 10th May 2020,Mean,3.81,3.89,3.81,3.8,3.75,4.11,4.12,3.95,3.82,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,2.99,3.74,,2.61,3.4,,,,,,,,3.65,2.84,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 7th to 10th May 2020,Standard deviation Standard error,0.96,0.96,0.93,0.86,0.7,0.77,0.8,0.81,0.87,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.98,0.82,,0.92,0.82,,,,,,,,0.84,1,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 7th to 10th May 2020,Unweighted base,,,,,,,,,,,,,108,271,89,117,316,438,129,110,195,545,275,110,36,193,134,96,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 7th to 10th May 2020,Weighted base,,,,,,,,,,,,,111,270,90,119,313,427,127,113,195,558,274,114,37,206,146,97,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 7th to 10th May 2020,NET: Trust,,,,,,,,,,,,,41,144,46,97,279,331,111,89,140,89,59,27,11,71,47,24,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 7th to 10th May 2020,5 - Trust completely,,,,,,,,,,,,,7,37,6,59,165,144,45,36,44,14,8,2,3,6,13,6,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 7th to 10th May 2020,4,,,,,,,,,,,,,34,107,41,38,114,187,66,53,96,74,51,25,7,65,34,18,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 7th to 10th May 2020,3,,,,,,,,,,,,,42,98,37,20,26,73,15,21,41,238,138,45,16,100,62,43,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 7th to 10th May 2020,2,,,,,,,,,,,,,24,26,7,-,7,17,2,2,12,162,63,33,9,28,29,19,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 7th to 10th May 2020,1 - Do not trust at all,,,,,,,,,,,,,4,3,-,3,1,6,-,1,3,69,15,9,2,8,8,11,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 7th to 10th May 2020,NET: Do not trust,,,,,,,,,,,,,28,28,7,3,8,23,2,3,14,231,78,43,10,35,36,30,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 7th to 10th May 2020,Mean,,,,,,,,,,,,,3.14,3.55,3.5,4.26,4.39,4.04,4.2,4.07,3.86,2.65,2.91,2.79,3.06,3.17,3.11,2.89,,,,,,,,,,,,,,,,,,,,,,,,,3.73,,,,,,,,,,,,,
